group,team,expected_group_points,avg_rating_after_group,win_group,finish_second,finish_third,make_round_of_32,make_round_of_16,make_quarterfinals,make_semifinals,make_final,win_tournament
G,Iran,3.36275,1764.5895609700106,0.27169,0.06338,0.63133,0.562,0.2456,0.10648,0.02094,0.00682,0.0028
A,South Africa,2.0585,1542.465250209229,0.0,0.12258,0.19074,0.14867,0.05995,0.02661,0.01242,0.0057,0.00273
A,Czech Republic,2.07903,1708.7507155988774,0.0,0.02623,0.68668,0.17581,0.07752,0.03254,0.00634,0.00216,0.00098
B,Bosnia and Herzegovina,3.08994,1597.415165844879,0.0,0.0,0.86072,0.61452,0.12474,0.05747,0.00452,0.00082,0.0004
K,DR Congo,2.31037,1666.589499115884,0.0,0.0,0.66563,0.32338,0.06071,0.01511,0.0034,0.0017,0.00029
L,Ghana,4.25145,1581.8461991132313,0.04469,0.12962,0.82569,0.99923,0.06886,0.01394,0.00277,0.00062,0.00019
H,Cape Verde,3.49182,1625.276784633171,0.0,0.45859,0.25173,0.5059,0.03056,0.01221,0.00446,0.00081,0.00018
K,Uzbekistan,1.34637,1676.410500884116,0.0,0.0,0.33437,0.07482,0.01427,0.00383,0.00097,0.00043,9e-05
H,Saudi Arabia,2.18861,1592.723215366829,0.0,0.25275,0.03693,0.28961,0.01644,0.00659,0.00198,0.00032,8e-05
E,Curacao,2.03942,1470.0248694058805,0.0,0.09833,0.23873,0.13106,0.04931,0.00369,0.00134,0.00056,4e-05
G,New Zealand,2.03153,1568.4065866838073,0.0,0.0734,0.03763,0.11079,0.01758,0.00243,0.00031,8e-05,2e-05
D,Turkey,1.32253,1813.4690468156464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,Qatar,1.66395,1435.584834155121,0.0,0.0,0.13928,0.13902,0.01256,0.00581,0.00017,1e-05,0.0
C,Haiti,0.20942,1525.8859184199018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,Tunisia,1.0166,1592.738975188691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,Iraq,0.43665,1584.1137861678342,0.0,0.0,0.08112,0.01394,0.00225,0.00059,8e-05,2e-05,0.0
J,Jordan,1.00482,1657.7805687732614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,Panama,1.02251,1689.1478538133128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
